PId,X1,X2,Y
1,a,c,maybe
2,a,c,no
3,a,c,no
4,a,c,no
5,a,c,no
6,a,c,no
7,a,c,no
8,a,c,yes
9,a,c,no
10,a,c,no
11,a,c,no
12,a,c,yes
13,a,c,no
14,a,c,no
15,a,c,no
16,a,d,no
17,a,d,maybe
18,a,d,no
19,a,d,maybe
20,a,d,no
21,a,d,maybe
22,a,d,yes
23,a,d,maybe
24,a,d,maybe
25,a,d,maybe
26,a,d,yes
27,a,d,yes
28,a,d,yes
29,a,d,maybe
30,a,d,yes
31,b,c,no
32,b,c,no
33,b,c,no
34,b,c,no
35,b,c,maybe
36,b,c,maybe
37,b,c,yes
38,b,c,yes
39,b,c,no
40,b,c,maybe
41,b,c,yes
42,b,c,yes
43,b,c,yes
44,b,c,yes
45,b,c,maybe
46,b,d,yes
47,b,d,yes
48,b,d,maybe
49,b,d,maybe
50,b,d,yes
51,b,d,no
52,b,d,maybe
53,b,d,yes
54,b,d,yes
55,b,d,yes
56,b,d,yes
57,b,d,yes
58,b,d,no
59,b,d,no
60,b,d,yes
