PId,X1,X2,Y
1,a,c,yes
1,a,d,no
1,b,c,no
1,b,d,yes
2,a,c,yes
2,a,d,no
2,b,c,yes
2,b,d,no
3,a,c,yes
3,a,d,no
3,b,c,yes
3,b,d,yes
4,a,c,no
4,a,d,no
4,b,c,yes
4,b,d,no
5,a,c,yes
5,a,d,no
5,b,c,yes
5,b,d,yes
6,a,c,no
6,a,d,no
6,b,c,no
6,b,d,yes
7,a,c,yes
7,a,d,yes
7,b,c,no
7,b,d,yes
8,a,c,yes
8,a,d,no
8,b,c,yes
8,b,d,yes
9,a,c,yes
9,a,d,yes
9,b,c,yes
9,b,d,no
10,a,c,yes
10,a,d,no
10,b,c,yes
10,b,d,yes
11,a,c,yes
11,a,d,no
11,b,c,yes
11,b,d,yes
12,a,c,no
12,a,d,no
12,b,c,yes
12,b,d,no
13,a,c,yes
13,a,d,no
13,b,c,no
13,b,d,yes
14,a,c,yes
14,a,d,yes
14,b,c,no
14,b,d,no
15,a,c,yes
15,a,d,no
15,b,c,yes
15,b,d,no
